Epoch: 43, Loss: 1.3340, Train: 89.54%, Valid: 69.88%, Test In: 70.78% Test OOD1: 62.52% Test OOD2: 50.51% Test OOD3: 60.14% 
Epoch: 44, Loss: 1.3238, Train: 90.45%, Valid: 69.89%, Test In: 70.82% Test OOD1: 62.33% Test OOD2: 50.60% Test OOD3: 60.06% 
Epoch: 45, Loss: 1.2987, Train: 90.65%, Valid: 69.89%, Test In: 70.77% Test OOD1: 62.86% Test OOD2: 50.49% Test OOD3: 60.25% 
Epoch: 46, Loss: 1.2927, Train: 90.80%, Valid: 69.82%, Test In: 70.71% Test OOD1: 62.43% Test OOD2: 50.55% Test OOD3: 59.88% 
Epoch: 47, Loss: 1.2655, Train: 91.56%, Valid: 69.84%, Test In: 70.65% Test OOD1: 62.36% Test OOD2: 50.65% Test OOD3: 59.78% 
Epoch: 48, Loss: 1.2444, Train: 91.92%, Valid: 69.83%, Test In: 70.67% Test OOD1: 62.67% Test OOD2: 50.58% Test OOD3: 59.92% 
Epoch: 49, Loss: 1.2372, Train: 91.82%, Valid: 69.78%, Test In: 70.65% Test OOD1: 62.33% Test OOD2: 50.58% Test OOD3: 59.57% 
Epoch: 50, Loss: 1.2161, Train: 92.59%, Valid: 69.78%, Test In: 70.62% Test OOD1: 62.14% Test OOD2: 50.67% Test OOD3: 59.41% 
Epoch: 51, Loss: 1.1797, Train: 93.01%, Valid: 69.68%, Test In: 70.45% Test OOD1: 62.76% Test OOD2: 50.63% Test OOD3: 59.72% 
Epoch: 52, Loss: 1.1798, Train: 92.92%, Valid: 69.60%, Test In: 70.43% Test OOD1: 62.53% Test OOD2: 50.61% Test OOD3: 59.51% 
Epoch: 53, Loss: 1.1715, Train: 93.44%, Valid: 69.62%, Test In: 70.41% Test OOD1: 62.42% Test OOD2: 50.64% Test OOD3: 59.37% 
Epoch: 54, Loss: 1.1174, Train: 94.24%, Valid: 69.70%, Test In: 70.42% Test OOD1: 62.47% Test OOD2: 50.73% Test OOD3: 59.48% 
Epoch: 55, Loss: 1.1104, Train: 93.97%, Valid: 69.63%, Test In: 70.37% Test OOD1: 62.37% Test OOD2: 50.67% Test OOD3: 59.33% 
Epoch: 56, Loss: 1.0857, Train: 94.08%, Valid: 69.54%, Test In: 70.28% Test OOD1: 62.45% Test OOD2: 50.62% Test OOD3: 59.32% 
Epoch: 57, Loss: 1.0880, Train: 95.29%, Valid: 69.49%, Test In: 70.19% Test OOD1: 62.32% Test OOD2: 50.74% Test OOD3: 59.39% 
Epoch: 58, Loss: 1.0635, Train: 95.16%, Valid: 69.43%, Test In: 70.17% Test OOD1: 62.34% Test OOD2: 50.59% Test OOD3: 59.41% 
Epoch: 59, Loss: 1.0327, Train: 95.19%, Valid: 69.37%, Test In: 70.08% Test OOD1: 61.99% Test OOD2: 50.59% Test OOD3: 59.28% 
Epoch: 60, Loss: 1.0205, Train: 95.87%, Valid: 69.30%, Test In: 70.02% Test OOD1: 62.10% Test OOD2: 50.59% Test OOD3: 59.30% 
Epoch: 61, Loss: 0.9827, Train: 96.23%, Valid: 69.30%, Test In: 69.96% Test OOD1: 62.04% Test OOD2: 50.59% Test OOD3: 59.22% 
Epoch: 62, Loss: 0.9877, Train: 96.28%, Valid: 69.25%, Test In: 69.94% Test OOD1: 61.92% Test OOD2: 50.58% Test OOD3: 59.14% 
Epoch: 63, Loss: 0.9739, Train: 96.40%, Valid: 69.20%, Test In: 69.91% Test OOD1: 62.00% Test OOD2: 50.47% Test OOD3: 59.15% 
Epoch: 64, Loss: 0.9446, Train: 97.17%, Valid: 69.20%, Test In: 69.90% Test OOD1: 61.93% Test OOD2: 50.57% Test OOD3: 59.15% 
Epoch: 65, Loss: 0.9284, Train: 97.20%, Valid: 69.15%, Test In: 69.93% Test OOD1: 61.86% Test OOD2: 50.55% Test OOD3: 59.10% 
Epoch: 66, Loss: 0.9018, Train: 97.22%, Valid: 69.14%, Test In: 69.93% Test OOD1: 61.89% Test OOD2: 50.54% Test OOD3: 59.08% 
Epoch: 67, Loss: 0.9022, Train: 97.96%, Valid: 69.23%, Test In: 69.88% Test OOD1: 61.57% Test OOD2: 50.72% Test OOD3: 59.07% 
