index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,lambda_fd,lambda_spu,lambda_ind,context_gate_temp,fd_blend,lambda_med,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
41,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/041_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,0,96.26,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.7,0.25,99.98,0.01,97.58,0.08,97.68,0.09,99.98,0.01,97.63,0.02,92.88,0.9,89.22,1.26,89.22
42,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/042_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,0,98.86,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,0.5,0.7,0.5,99.98,0.01,97.6,0.08,97.65,0.07,99.98,0.0,97.56,0.08,93.51,0.26,90.92,0.62,90.92
43,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/043_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.25,0,94.39,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.3,0.25,99.99,0.0,97.65,0.2,97.54,0.19,99.97,0.03,97.41,0.3,93.81,0.3,90.08,0.24,90.08
44,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/044_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.3_lambda_med0.5,0,99.13,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.3,0.5,99.99,0.0,97.63,0.06,97.66,0.03,99.98,0.0,97.63,0.01,93.43,0.25,91.43,0.47,91.43
45,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/045_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.25,0,98.28,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.5,0.25,99.99,0.01,97.65,0.07,97.63,0.2,99.98,0.01,97.53,0.34,93.5,0.28,90.64,0.48,90.64
46,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/046_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.5_lambda_med0.5,0,99.13,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.5,0.5,99.98,0.01,97.63,0.05,97.59,0.01,99.97,0.0,97.54,0.04,93.59,0.44,91.8,1.12,91.8
47,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/047_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.25,0,93.8,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.7,0.25,99.98,0.02,97.6,0.09,97.66,0.22,99.97,0.02,97.59,0.31,92.48,0.19,87.91,0.64,87.91
48,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/048_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 0.5 --lambda_spu 0.1 --lambda_ind 0.1 --context_gate_temp 1.0 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd0.5_lambda_spu0.1_lambda_ind0.1_context_gate_temp1.0_fd_blend0.7_lambda_med0.5,0,97.91,0.005,5e-05,0.2,64,2,0.5,0.1,0.1,1.0,0.7,0.5,99.98,0.01,97.65,0.06,97.58,0.17,99.97,0.02,97.51,0.07,93.48,1.04,90.91,1.79,90.91
49,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/049_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.25,0,98.59,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.3,0.25,99.99,0.0,97.67,0.07,97.56,0.16,99.98,0.0,97.51,0.11,92.84,0.16,90.11,0.22,90.11
50,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/050_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.3 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.3_lambda_med0.5,0,100.98,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.3,0.5,99.99,0.0,97.69,0.04,97.54,0.12,99.99,0.01,97.44,0.13,92.54,0.14,90.55,0.37,90.55
51,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/051_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.25,0,98.22,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.5,0.25,99.99,0.01,97.66,0.01,97.57,0.23,99.98,0.01,97.48,0.27,92.27,0.76,88.4,0.48,88.4
52,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/052_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.5 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.5_lambda_med0.5,0,98.56,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.5,0.5,99.99,0.0,97.6,0.02,97.57,0.09,99.98,0.0,97.54,0.05,92.48,0.81,89.74,0.09,89.74
53,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,search_logs_frontdoor/pubmed/gcn/stage2/053_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.25 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.25,0,95.23,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.7,0.25,99.98,0.02,97.87,0.08,97.7,0.06,99.97,0.02,97.55,0.08,92.69,0.43,89.52,3.16,89.52
54,pubmed,gcn,stage2,pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,search_logs_frontdoor/pubmed/gcn/stage2/054_pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5.log,python main_frontdoor.py --dataset pubmed --backbone_type gcn --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --combine_result --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 2 --lambda_fd 1.0 --lambda_spu 0.05 --lambda_ind 0.05 --context_gate_temp 0.5 --fd_blend 0.7 --lambda_med 0.5 --result_name pubmed_gcn_frontdoor_stage2_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K2_lambda_fd1.0_lambda_spu0.05_lambda_ind0.05_context_gate_temp0.5_fd_blend0.7_lambda_med0.5,0,102.42,0.005,5e-05,0.2,64,2,1.0,0.05,0.05,0.5,0.7,0.5,99.99,0.01,97.64,0.14,97.59,0.21,99.98,0.01,97.57,0.17,92.17,0.14,89.75,2.68,89.75
