index,dataset,backbone,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,hidden_channels,K,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,highest_ood_test_2,highest_ood_test_2_std,highest_ood_test_3,highest_ood_test_3_std,final_ood_test_1,final_ood_test_1_std,final_ood_test_2,final_ood_test_2_std,final_ood_test_3,final_ood_test_3_std,last_final_ood_test
36,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/036_twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 5e-05 --dropout 0.2 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay5e-05_dropout0.2_hidden_channels64_K3,0,197.49,0.005,5e-05,0.2,64,3,80.98,0.56,75.17,0.06,75.75,0.04,79.66,0.3,75.73,0.02,67.91,0.33,54.52,0.02,63.47,0.22,66.71,0.63,54.29,0.11,62.22,0.16,62.22
37,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/037_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K2,0,176.63,0.005,0.0001,0.0,32,2,80.55,2.5,74.42,0.04,75.4,0.15,77.9,0.33,75.34,0.13,68.06,0.13,55.43,0.72,64.1,0.33,68.01,0.08,54.55,0.13,63.92,0.5,63.92
38,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/038_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels32_K3,0,183.53,0.005,0.0001,0.0,32,3,83.02,3.71,74.49,0.1,75.53,0.06,78.0,0.76,75.44,0.11,68.27,0.09,56.01,0.11,64.35,0.0,68.09,0.04,55.07,0.88,64.08,0.18,64.08
39,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/039_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K2,0,184.12,0.005,0.0001,0.0,64,2,83.39,0.61,74.49,0.14,75.5,0.13,77.71,0.52,75.36,0.03,68.3,0.08,55.9,0.0,64.38,0.0,68.11,0.16,54.48,0.65,64.2,0.03,64.2
40,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/040_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.0 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.0_hidden_channels64_K3,0,186.45,0.005,0.0001,0.0,64,3,84.16,1.39,74.33,0.22,75.45,0.31,78.51,0.38,75.39,0.34,68.12,0.3,55.84,0.25,64.36,0.12,67.93,0.33,55.41,0.38,64.1,0.24,64.1
41,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/041_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K2,0,170.4,0.005,0.0001,0.1,32,2,79.71,0.55,74.94,0.08,75.56,0.18,78.73,0.07,75.46,0.2,68.44,0.12,55.11,0.28,63.94,0.34,68.12,0.13,54.79,0.11,63.35,0.04,63.35
42,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K3,search_logs_frontdoor/twitch/gat/stage1/042_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 32 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels32_K3,0,199.35,0.005,0.0001,0.1,32,3,82.03,0.82,74.94,0.01,75.53,0.03,78.96,0.89,75.48,0.01,68.35,0.26,55.15,0.2,63.68,0.09,67.94,0.01,54.57,0.21,63.23,0.52,63.23
43,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2,search_logs_frontdoor/twitch/gat/stage1/043_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K2,0,186.51,0.005,0.0001,0.1,64,2,83.34,2.76,74.95,0.01,75.61,0.02,78.47,0.19,75.53,0.09,68.28,0.01,55.02,0.06,63.85,0.1,67.91,0.1,54.52,0.05,63.4,0.15,63.4
44,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3,search_logs_frontdoor/twitch/gat/stage1/044_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.1 --hidden_channels 64 --K 3 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.1_hidden_channels64_K3,0,191.89,0.005,0.0001,0.1,64,3,82.65,2.6,75.0,0.14,75.54,0.11,80.4,1.59,75.31,0.18,68.24,0.15,54.92,0.03,63.9,0.05,67.27,0.72,54.68,0.01,62.86,0.31,62.86
45,twitch,gat,stage1,twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels32_K2,search_logs_frontdoor/twitch/gat/stage1/045_twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels32_K2.log,python main_frontdoor.py --dataset twitch --backbone_type gat --store_result --epochs 500 --runs 2 --num_layers 2 --device 1 --seed 2024 --lr 0.005 --weight_decay 0.0001 --dropout 0.2 --hidden_channels 32 --K 2 --result_name twitch_gat_frontdoor_stage1_lr0.005_weight_decay0.0001_dropout0.2_hidden_channels32_K2,0,178.71,0.005,0.0001,0.2,32,2,78.96,0.37,75.18,0.01,75.65,0.19,78.77,0.3,75.6,0.17,68.0,0.23,54.6,0.42,63.59,0.21,67.64,0.45,54.29,0.43,63.23,0.1,63.23
