index,dataset,stage,result_name,log_file,command,return_code,elapsed_seconds,lr,weight_decay,dropout,lamda,K,hidden_channels,other_env_reduce,highest_train,highest_train_std,highest_valid,highest_valid_std,highest_in_test,highest_in_test_std,final_train,final_train_std,final_in_test,final_in_test_std,highest_ood_test_1,highest_ood_test_1_std,final_ood_test_1,final_ood_test_1_std,last_final_ood_test
21,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/021_cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,352.68,0.005,5e-05,0.3,0.1,3,32,env,100.0,0.0,97.0,0.0,97.51,0.03,99.99,0.02,97.29,0.0,98.28,0.04,97.94,0.03,97.94
22,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/022_cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,323.16,0.005,5e-05,0.3,0.5,3,32,env,100.0,0.0,97.02,0.03,97.44,0.07,100.0,0.0,97.19,0.07,98.34,0.0,98.25,0.09,98.25
23,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/023_cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,392.26,0.005,5e-05,0.3,1.0,3,32,env,100.0,0.0,97.02,0.03,97.44,0.07,99.99,0.02,97.14,0.21,98.33,0.01,98.23,0.02,98.23
24,cora,stage1,cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/024_cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.005 --weight_decay 5e-05 --dropout 0.3 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.005_weight_decay5e-05_dropout0.3_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,314.63,0.005,5e-05,0.3,2.0,3,32,env,100.0,0.0,97.02,0.03,97.46,0.1,100.0,0.0,97.22,0.1,98.41,0.04,98.31,0.1,98.31
25,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/025_cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.1 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,291.23,0.001,5e-05,0.1,0.1,3,32,env,99.8,0.0,96.45,0.07,96.7,0.07,99.74,0.09,96.48,0.1,83.43,0.24,82.32,0.16,82.32
26,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/026_cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.1 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,311.26,0.001,5e-05,0.1,0.5,3,32,env,99.82,0.02,96.45,0.07,96.73,0.03,99.8,0.03,96.6,0.07,83.91,0.12,83.59,0.55,83.59
27,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/027_cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.1 --lamda 1.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda1.0_K3_hidden_channels32_other_env_reduceenv,0,326.49,0.001,5e-05,0.1,1.0,3,32,env,99.82,0.02,96.45,0.0,96.73,0.03,99.8,0.03,96.58,0.1,84.27,0.03,83.87,0.6,83.87
28,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/028_cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.1 --lamda 2.0 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.1_lamda2.0_K3_hidden_channels32_other_env_reduceenv,0,327.18,0.001,5e-05,0.1,2.0,3,32,env,99.8,0.0,96.38,0.03,96.7,0.07,99.77,0.02,96.55,0.07,84.39,0.36,83.36,0.06,83.36
29,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/029_cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.2 --lamda 0.1 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.1_K3_hidden_channels32_other_env_reduceenv,0,392.54,0.001,5e-05,0.2,0.1,3,32,env,99.32,0.09,95.49,0.24,95.86,0.35,99.27,0.05,95.74,0.31,89.41,0.21,88.96,0.27,88.96
30,cora,stage1,cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,search_logs/cora/stage1/030_cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv.log,python main.py --dataset cora --backbone_type gcn --env_type graph --combine_result --store_result --epochs 500 --runs 2 --num_layers 2 --expert_agg mean --tau 1 --device 1 --other_env_objective irm --lr 0.001 --weight_decay 5e-05 --dropout 0.2 --lamda 0.5 --K 3 --hidden_channels 32 --other_env_reduce env --result_name cora_stage1_lr0.001_weight_decay5e-05_dropout0.2_lamda0.5_K3_hidden_channels32_other_env_reduceenv,0,367.53,0.001,5e-05,0.2,0.5,3,32,env,99.36,0.07,95.54,0.1,96.04,0.1,99.25,0.09,95.86,0.21,89.78,0.43,89.05,1.24,89.05
